filepath,label,label_idx,samplerate,frames,duration_s
data/Emotions\Angry\03-01-05-01-02-02-04.wav,Angry,0,48000,179379,3.7370625
data/Emotions\Angry\03-01-05-01-02-02-05.wav,Angry,0,48000,211411,4.404395833333333
data/Emotions\Angry\03-01-05-01-02-02-06.wav,Angry,0,48000,187387,3.9038958333333333
data/Emotions\Angry\03-01-05-01-02-02-07.wav,Angry,0,48000,192192,4.004
data/Emotions\Angry\03-01-05-01-02-02-08.wav,Angry,0,48000,171371,3.5702291666666666
data/Emotions\Angry\03-01-05-01-02-02-09.wav,Angry,0,48000,169770,3.536875
data/Emotions\Angry\03-01-05-01-02-02-10.wav,Angry,0,48000,198599,4.137479166666667
data/Emotions\Angry\03-01-05-01-02-02-11.wav,Angry,0,48000,179380,3.7370833333333335
data/Emotions\Angry\03-01-05-01-02-02-12.wav,Angry,0,48000,198598,4.137458333333333
data/Emotions\Angry\03-01-05-01-02-02-13.wav,Angry,0,48000,161761,3.3700208333333332
data/Emotions\Angry\03-01-05-01-02-02-14.wav,Angry,0,48000,187388,3.9039166666666665
data/Emotions\Angry\03-01-05-01-02-02-15.wav,Angry,0,48000,169770,3.536875
data/Emotions\Angry\03-01-05-01-02-02-16.wav,Angry,0,48000,187387,3.9038958333333333
data/Emotions\Angry\03-01-05-01-02-02-17.wav,Angry,0,48000,169770,3.536875
data/Emotions\Angry\03-01-05-01-02-02-18.wav,Angry,0,48000,174575,3.636979166666667
data/Emotions\Angry\03-01-05-01-02-02-19.wav,Angry,0,48000,171371,3.5702291666666666
data/Emotions\Angry\03-01-05-01-02-02-20.wav,Angry,0,48000,182582,3.8037916666666667
data/Emotions\Angry\03-01-05-01-02-02-21.wav,Angry,0,48000,188989,3.9372708333333333
data/Emotions\Angry\03-01-05-01-02-02-22.wav,Angry,0,48000,193793,4.037354166666667
data/Emotions\Angry\03-01-05-01-02-02-23.wav,Angry,0,48000,160160,3.3366666666666664
data/Emotions\Angry\03-01-05-01-02-02-24.wav,Angry,0,48000,201801,4.2041875
data/Emotions\Angry\03-01-05-02-01-01-01.wav,Angry,0,48000,196997,4.104104166666667
data/Emotions\Angry\03-01-05-02-01-01-02.wav,Angry,0,48000,187388,3.9039166666666665
data/Emotions\Angry\03-01-05-02-01-01-03.wav,Angry,0,48000,211411,4.404395833333333
data/Emotions\Angry\03-01-05-02-01-01-04.wav,Angry,0,48000,180981,3.7704375
data/Emotions\Angry\03-01-05-02-01-01-05.wav,Angry,0,48000,163363,3.403395833333333
data/Emotions\Angry\03-01-05-02-01-01-06.wav,Angry,0,48000,196997,4.104104166666667
data/Emotions\Angry\03-01-05-02-01-01-07.wav,Angry,0,48000,172973,3.6036041666666665
data/Emotions\Angry\03-01-05-02-01-01-08.wav,Angry,0,48000,190590,3.970625
data/Emotions\Angry\03-01-05-02-01-01-09.wav,Angry,0,48000,182583,3.8038125
data/Emotions\Angry\03-01-05-02-01-01-10.wav,Angry,0,48000,200200,4.170833333333333
data/Emotions\Angry\03-01-05-02-01-01-11.wav,Angry,0,48000,169770,3.536875
data/Emotions\Angry\03-01-05-02-01-01-12.wav,Angry,0,48000,174574,3.6369583333333333
data/Emotions\Angry\03-01-05-02-01-01-13.wav,Angry,0,48000,176176,3.6703333333333332
data/Emotions\Angry\03-01-05-02-01-01-14.wav,Angry,0,48000,205005,4.2709375
data/Emotions\Angry\03-01-05-02-01-01-15.wav,Angry,0,48000,169770,3.536875
data/Emotions\Angry\03-01-05-02-01-01-16.wav,Angry,0,48000,190591,3.970645833333333
data/Emotions\Angry\03-01-05-02-01-01-17.wav,Angry,0,48000,168168,3.5035
data/Emotions\Angry\03-01-05-02-01-01-18.wav,Angry,0,48000,177778,3.703708333333333
data/Emotions\Angry\03-01-05-02-01-01-19.wav,Angry,0,48000,190591,3.970645833333333
data/Emotions\Angry\03-01-05-02-01-01-20.wav,Angry,0,48000,198599,4.137479166666667
data/Emotions\Angry\03-01-05-02-01-01-21.wav,Angry,0,48000,209810,4.371041666666667
data/Emotions\Angry\03-01-05-02-01-01-22.wav,Angry,0,48000,185786,3.8705416666666665
data/Emotions\Angry\03-01-05-02-01-01-23.wav,Angry,0,48000,163363,3.403395833333333
data/Emotions\Angry\03-01-05-02-01-01-24.wav,Angry,0,48000,209810,4.371041666666667
data/Emotions\Angry\03-01-05-02-01-02-01.wav,Angry,0,48000,209810,4.371041666666667
data/Emotions\Angry\03-01-05-02-01-02-02.wav,Angry,0,48000,192192,4.004
data/Emotions\Angry\03-01-05-02-01-02-03.wav,Angry,0,48000,211412,4.404416666666667
data/Emotions\Angry\03-01-05-02-01-02-04.wav,Angry,0,48000,185785,3.8705208333333334
data/Emotions\Angry\03-01-05-02-01-02-05.wav,Angry,0,48000,171371,3.5702291666666666
data/Emotions\Angry\03-01-05-02-01-02-06.wav,Angry,0,48000,201801,4.2041875
data/Emotions\Angry\03-01-05-02-01-02-07.wav,Angry,0,48000,192192,4.004
data/Emotions\Angry\03-01-05-02-01-02-08.wav,Angry,0,48000,180981,3.7704375
data/Emotions\Angry\03-01-05-02-01-02-09.wav,Angry,0,48000,180981,3.7704375
data/Emotions\Angry\03-01-05-02-01-02-10.wav,Angry,0,48000,214614,4.471125
data/Emotions\Angry\03-01-05-02-01-02-11.wav,Angry,0,48000,190590,3.970625
data/Emotions\Angry\03-01-05-02-01-02-12.wav,Angry,0,48000,176176,3.6703333333333332
data/Emotions\Angry\03-01-05-02-01-02-13.wav,Angry,0,48000,205005,4.2709375
data/Emotions\Angry\03-01-05-02-01-02-14.wav,Angry,0,48000,209809,4.371020833333334
data/Emotions\Angry\03-01-05-02-01-02-15.wav,Angry,0,48000,179380,3.7370833333333335
data/Emotions\Angry\03-01-05-02-01-02-16.wav,Angry,0,48000,179379,3.7370625
data/Emotions\Angry\03-01-05-02-01-02-17.wav,Angry,0,48000,179379,3.7370625
data/Emotions\Angry\03-01-05-02-01-02-18.wav,Angry,0,48000,180981,3.7704375
data/Emotions\Angry\03-01-05-02-01-02-19.wav,Angry,0,48000,230630,4.804791666666667
data/Emotions\Angry\03-01-05-02-01-02-20.wav,Angry,0,48000,195395,4.070729166666666
data/Emotions\Angry\03-01-05-02-01-02-21.wav,Angry,0,48000,214614,4.471125
data/Emotions\Angry\03-01-05-02-01-02-22.wav,Angry,0,48000,187387,3.9038958333333333
data/Emotions\Angry\03-01-05-02-01-02-23.wav,Angry,0,48000,160160,3.3366666666666664
data/Emotions\Angry\03-01-05-02-01-02-24.wav,Angry,0,48000,209810,4.371041666666667
data/Emotions\Angry\03-01-05-02-02-01-01.wav,Angry,0,48000,198598,4.137458333333333
data/Emotions\Angry\03-01-05-02-02-01-02.wav,Angry,0,48000,192192,4.004
data/Emotions\Angry\03-01-05-02-02-01-03.wav,Angry,0,48000,203403,4.2375625
data/Emotions\Angry\03-01-05-02-02-01-04.wav,Angry,0,48000,177777,3.7036875
data/Emotions\Angry\03-01-05-02-02-01-05.wav,Angry,0,48000,174574,3.6369583333333333
data/Emotions\Angry\03-01-05-02-02-01-06.wav,Angry,0,48000,213013,4.437770833333333
data/Emotions\Angry\03-01-05-02-02-01-07.wav,Angry,0,48000,184184,3.8371666666666666
data/Emotions\Angry\03-01-05-02-02-01-08.wav,Angry,0,48000,172973,3.6036041666666665
data/Emotions\Angry\03-01-05-02-02-01-09.wav,Angry,0,48000,209810,4.371041666666667
data/Emotions\Angry\03-01-05-02-02-01-10.wav,Angry,0,48000,185785,3.8705208333333334
data/Emotions\Angry\03-01-05-02-02-01-11.wav,Angry,0,48000,188989,3.9372708333333333
data/Emotions\Angry\03-01-05-02-02-01-12.wav,Angry,0,48000,182583,3.8038125
data/Emotions\Angry\03-01-05-02-02-01-13.wav,Angry,0,48000,171371,3.5702291666666666
data/Emotions\Angry\03-01-05-02-02-01-14.wav,Angry,0,48000,200200,4.170833333333333
data/Emotions\Angry\03-01-05-02-02-01-15.wav,Angry,0,48000,166567,3.4701458333333335
data/Emotions\Angry\03-01-05-02-02-01-16.wav,Angry,0,48000,182582,3.8037916666666667
data/Emotions\Angry\03-01-05-02-02-01-17.wav,Angry,0,48000,174575,3.636979166666667
data/Emotions\Angry\03-01-05-02-02-01-18.wav,Angry,0,48000,184184,3.8371666666666666
data/Emotions\Angry\03-01-05-02-02-01-19.wav,Angry,0,48000,208208,4.337666666666666
data/Emotions\Angry\03-01-05-02-02-01-20.wav,Angry,0,48000,211412,4.404416666666667
data/Emotions\Angry\03-01-05-02-02-01-21.wav,Angry,0,48000,196996,4.1040833333333335
data/Emotions\Angry\03-01-05-02-02-01-22.wav,Angry,0,48000,203404,4.237583333333333
data/Emotions\Angry\03-01-05-02-02-01-23.wav,Angry,0,48000,155355,3.2365625
data/Emotions\Angry\03-01-05-02-02-01-24.wav,Angry,0,48000,200200,4.170833333333333
data/Emotions\Angry\03-01-05-02-02-02-01.wav,Angry,0,48000,213013,4.437770833333333
data/Emotions\Angry\03-01-05-02-02-02-02.wav,Angry,0,48000,192192,4.004
data/Emotions\Angry\03-01-05-02-02-02-03.wav,Angry,0,48000,216216,4.5045
data/Emotions\Angry\03-01-05-02-02-02-04.wav,Angry,0,48000,184184,3.8371666666666666
data/Emotions\Angry\03-01-05-02-02-02-05.wav,Angry,0,48000,174575,3.636979166666667
data/Emotions\Angry\03-01-05-02-02-02-06.wav,Angry,0,48000,214614,4.471125
data/Emotions\Angry\03-01-05-02-02-02-07.wav,Angry,0,48000,208208,4.337666666666666
data/Emotions\Angry\03-01-05-02-02-02-08.wav,Angry,0,48000,174574,3.6369583333333333
data/Emotions\Angry\03-01-05-02-02-02-09.wav,Angry,0,48000,190591,3.970645833333333
data/Emotions\Angry\03-01-05-02-02-02-10.wav,Angry,0,48000,198598,4.137458333333333
data/Emotions\Angry\03-01-05-02-02-02-11.wav,Angry,0,48000,180981,3.7704375
data/Emotions\Angry\03-01-05-02-02-02-12.wav,Angry,0,48000,184184,3.8371666666666666
data/Emotions\Angry\03-01-05-02-02-02-13.wav,Angry,0,48000,200200,4.170833333333333
data/Emotions\Angry\03-01-05-02-02-02-14.wav,Angry,0,48000,211412,4.404416666666667
data/Emotions\Angry\03-01-05-02-02-02-15.wav,Angry,0,48000,172973,3.6036041666666665
data/Emotions\Angry\03-01-05-02-02-02-16.wav,Angry,0,48000,195396,4.07075
data/Emotions\Angry\03-01-05-02-02-02-17.wav,Angry,0,48000,182583,3.8038125
data/Emotions\Angry\03-01-05-02-02-02-18.wav,Angry,0,48000,203403,4.2375625
data/Emotions\Angry\03-01-05-02-02-02-19.wav,Angry,0,48000,196997,4.104104166666667
data/Emotions\Angry\03-01-05-02-02-02-20.wav,Angry,0,48000,169769,3.5368541666666666
data/Emotions\Angry\03-01-05-02-02-02-21.wav,Angry,0,48000,203403,4.2375625
data/Emotions\Angry\03-01-05-02-02-02-22.wav,Angry,0,48000,201802,4.204208333333334
data/Emotions\Angry\03-01-05-02-02-02-23.wav,Angry,0,48000,158558,3.3032916666666665
data/Emotions\Angry\03-01-05-02-02-02-24.wav,Angry,0,48000,245045,5.105104166666667
data/Emotions\Angry\03-02-05-01-01-01-01.wav,Angry,0,48000,209809,4.371020833333334
data/Emotions\Angry\03-02-05-01-01-01-02.wav,Angry,0,48000,214614,4.471125
data/Emotions\Angry\03-02-05-01-01-01-03.wav,Angry,0,48000,214614,4.471125
data/Emotions\Angry\03-02-05-01-01-01-04.wav,Angry,0,48000,196997,4.104104166666667
data/Emotions\Angry\03-02-05-01-01-01-05.wav,Angry,0,48000,248248,5.171833333333334
data/Emotions\Angry\03-02-05-01-01-01-06.wav,Angry,0,48000,198598,4.137458333333333
data/Emotions\Angry\03-02-05-01-01-01-07.wav,Angry,0,48000,214614,4.471125
data/Emotions\Angry\03-02-05-01-01-01-08.wav,Angry,0,48000,213013,4.437770833333333
data/Emotions\Angry\03-02-05-01-01-01-09.wav,Angry,0,48000,198598,4.137458333333333
data/Emotions\Angry\03-02-05-01-01-01-10.wav,Angry,0,48000,222622,4.637958333333334
data/Emotions\Angry\03-02-05-01-01-01-11.wav,Angry,0,48000,193793,4.037354166666667
data/Emotions\Angry\03-02-05-01-01-01-12.wav,Angry,0,48000,221021,4.604604166666666
data/Emotions\Angry\03-02-05-01-01-01-13.wav,Angry,0,48000,198598,4.137458333333333
data/Emotions\Angry\03-02-05-01-01-01-14.wav,Angry,0,48000,208208,4.337666666666666
data/Emotions\Angry\03-02-05-01-01-01-15.wav,Angry,0,48000,200200,4.170833333333333
data/Emotions\Angry\03-02-05-01-01-01-16.wav,Angry,0,48000,211411,4.404395833333333
data/Emotions\Angry\03-02-05-01-01-01-17.wav,Angry,0,48000,245045,5.105104166666667
data/Emotions\Angry\03-02-05-01-01-01-19.wav,Angry,0,48000,217818,4.537875
data/Emotions\Angry\03-02-05-01-01-01-20.wav,Angry,0,48000,225826,4.7047083333333335
data/Emotions\Angry\03-02-05-01-01-01-21.wav,Angry,0,48000,219420,4.57125
data/Emotions\Angry\03-02-05-01-01-01-22.wav,Angry,0,48000,230631,4.8048125
data/Emotions\Angry\03-02-05-01-01-01-23.wav,Angry,0,48000,229028,4.771416666666667
data/Emotions\Angry\03-02-05-01-01-01-24.wav,Angry,0,48000,213013,4.437770833333333
data/Emotions\Angry\03-02-05-01-01-02-01.wav,Angry,0,48000,229029,4.7714375
data/Emotions\Angry\03-02-05-01-01-02-02.wav,Angry,0,48000,221021,4.604604166666666
data/Emotions\Angry\03-02-05-01-01-02-03.wav,Angry,0,48000,221021,4.604604166666666
data/Emotions\Angry\03-02-05-01-01-02-04.wav,Angry,0,48000,196997,4.104104166666667
data/Emotions\Angry\03-02-05-01-01-02-05.wav,Angry,0,48000,232232,4.838166666666667
data/Emotions\Angry\03-02-05-01-01-02-06.wav,Angry,0,48000,200200,4.170833333333333
data/Emotions\Angry\03-02-05-01-01-02-07.wav,Angry,0,48000,217818,4.537875
data/Emotions\Angry\03-02-05-01-01-02-08.wav,Angry,0,48000,211411,4.404395833333333
data/Emotions\Angry\03-02-05-01-01-02-09.wav,Angry,0,48000,193794,4.037375
data/Emotions\Angry\03-02-05-01-01-02-10.wav,Angry,0,48000,224224,4.671333333333333
data/Emotions\Angry\03-02-05-01-01-02-11.wav,Angry,0,48000,206606,4.304291666666667
data/Emotions\Angry\03-02-05-01-01-02-12.wav,Angry,0,48000,229029,4.7714375
data/Emotions\Angry\03-02-05-01-01-02-13.wav,Angry,0,48000,211411,4.404395833333333
data/Emotions\Angry\03-02-05-01-01-02-14.wav,Angry,0,48000,206607,4.3043125
data/Emotions\Angry\03-02-05-01-01-02-15.wav,Angry,0,48000,188989,3.9372708333333333
data/Emotions\Angry\03-02-05-01-01-02-16.wav,Angry,0,48000,211411,4.404395833333333
data/Emotions\Angry\03-02-05-01-01-02-17.wav,Angry,0,48000,245045,5.105104166666667
data/Emotions\Angry\03-02-05-01-01-02-19.wav,Angry,0,48000,224224,4.671333333333333
data/Emotions\Angry\03-02-05-01-01-02-20.wav,Angry,0,48000,240240,5.005
data/Emotions\Angry\03-02-05-01-01-02-21.wav,Angry,0,48000,221021,4.604604166666666
data/Emotions\Angry\03-02-05-01-01-02-22.wav,Angry,0,48000,225826,4.7047083333333335
data/Emotions\Angry\03-02-05-01-01-02-23.wav,Angry,0,48000,216216,4.5045
data/Emotions\Angry\03-02-05-01-01-02-24.wav,Angry,0,48000,209809,4.371020833333334
data/Emotions\Angry\03-02-05-01-02-01-01.wav,Angry,0,48000,221021,4.604604166666666
data/Emotions\Angry\03-02-05-01-02-01-02.wav,Angry,0,48000,227427,4.7380625
data/Emotions\Angry\03-02-05-01-02-01-03.wav,Angry,0,48000,233833,4.871520833333333
data/Emotions\Angry\03-02-05-01-02-01-04.wav,Angry,0,48000,193793,4.037354166666667
data/Emotions\Angry\03-02-05-01-02-01-05.wav,Angry,0,48000,229029,4.7714375
data/Emotions\Angry\03-02-05-01-02-01-06.wav,Angry,0,48000,211411,4.404395833333333
data/Emotions\Angry\03-02-05-01-02-01-07.wav,Angry,0,48000,219420,4.57125
data/Emotions\Angry\03-02-05-01-02-01-08.wav,Angry,0,48000,217818,4.537875
data/Emotions\Angry\03-02-05-01-02-01-09.wav,Angry,0,48000,193794,4.037375
data/Emotions\Angry\03-02-05-01-02-01-10.wav,Angry,0,48000,221021,4.604604166666666
data/Emotions\Angry\03-02-05-01-02-01-11.wav,Angry,0,48000,192192,4.004
data/Emotions\Angry\03-02-05-01-02-01-12.wav,Angry,0,48000,217817,4.5378541666666665
data/Emotions\Angry\03-02-05-01-02-01-13.wav,Angry,0,48000,206606,4.304291666666667
data/Emotions\Angry\03-02-05-01-02-01-14.wav,Angry,0,48000,209810,4.371041666666667
data/Emotions\Angry\03-02-05-01-02-01-15.wav,Angry,0,48000,216216,4.5045
data/Emotions\Angry\03-02-05-01-02-01-16.wav,Angry,0,48000,211411,4.404395833333333
data/Emotions\Angry\03-02-05-01-02-01-17.wav,Angry,0,48000,248248,5.171833333333334
data/Emotions\Angry\03-02-05-01-02-01-19.wav,Angry,0,48000,219420,4.57125
data/Emotions\Angry\03-02-05-01-02-01-20.wav,Angry,0,48000,224224,4.671333333333333
data/Emotions\Angry\03-02-05-01-02-01-21.wav,Angry,0,48000,216216,4.5045
data/Emotions\Angry\03-02-05-01-02-01-22.wav,Angry,0,48000,227427,4.7380625
data/Emotions\Angry\03-02-05-01-02-01-23.wav,Angry,0,48000,222622,4.637958333333334
data/Emotions\Angry\03-02-05-01-02-01-24.wav,Angry,0,48000,229029,4.7714375
data/Emotions\Angry\03-02-05-01-02-02-01.wav,Angry,0,48000,227428,4.738083333333333
data/Emotions\Angry\03-02-05-01-02-02-02.wav,Angry,0,48000,227427,4.7380625
data/Emotions\Angry\03-02-05-01-02-02-03.wav,Angry,0,48000,217817,4.5378541666666665
data/Emotions\Angry\03-02-05-01-02-02-04.wav,Angry,0,48000,195395,4.070729166666666
data/Emotions\Angry\03-02-05-01-02-02-05.wav,Angry,0,48000,235435,4.904895833333334
data/Emotions\Angry\03-02-05-01-02-02-06.wav,Angry,0,48000,214615,4.471145833333333
data/Emotions\Angry\03-02-05-01-02-02-07.wav,Angry,0,48000,221021,4.604604166666666
data/Emotions\Angry\03-02-05-01-02-02-08.wav,Angry,0,48000,219419,4.571229166666667
data/Emotions\Angry\03-02-05-01-02-02-09.wav,Angry,0,48000,201801,4.2041875
data/Emotions\Angry\03-02-05-01-02-02-10.wav,Angry,0,48000,222622,4.637958333333334
data/Emotions\Angry\03-02-05-01-02-02-11.wav,Angry,0,48000,200200,4.170833333333333
data/Emotions\Angry\03-02-05-01-02-02-12.wav,Angry,0,48000,213013,4.437770833333333
data/Emotions\Angry\03-02-05-01-02-02-13.wav,Angry,0,48000,208208,4.337666666666666
data/Emotions\Angry\03-02-05-01-02-02-14.wav,Angry,0,48000,206606,4.304291666666667
data/Emotions\Angry\03-02-05-01-02-02-15.wav,Angry,0,48000,188989,3.9372708333333333
data/Emotions\Angry\03-02-05-01-02-02-16.wav,Angry,0,48000,211411,4.404395833333333
data/Emotions\Angry\03-02-05-01-02-02-17.wav,Angry,0,48000,248248,5.171833333333334
data/Emotions\Angry\03-02-05-01-02-02-19.wav,Angry,0,48000,217817,4.5378541666666665
data/Emotions\Angry\03-02-05-01-02-02-20.wav,Angry,0,48000,224224,4.671333333333333
data/Emotions\Angry\03-02-05-01-02-02-21.wav,Angry,0,48000,219419,4.571229166666667
data/Emotions\Angry\03-02-05-01-02-02-22.wav,Angry,0,48000,222622,4.637958333333334
data/Emotions\Angry\03-02-05-01-02-02-23.wav,Angry,0,48000,225825,4.7046875
data/Emotions\Angry\03-02-05-01-02-02-24.wav,Angry,0,48000,206606,4.304291666666667
data/Emotions\Angry\03-02-05-02-01-01-01.wav,Angry,0,48000,280280,5.839166666666666
data/Emotions\Angry\03-02-05-02-01-01-02.wav,Angry,0,48000,222622,4.637958333333334
data/Emotions\Angry\03-02-05-02-01-01-03.wav,Angry,0,48000,209809,4.371020833333334
data/Emotions\Angry\03-02-05-02-01-01-04.wav,Angry,0,48000,195395,4.070729166666666
data/Emotions\Angry\03-02-05-02-01-01-05.wav,Angry,0,48000,221021,4.604604166666666
data/Emotions\Angry\03-02-05-02-01-01-06.wav,Angry,0,48000,216216,4.5045
data/Emotions\Angry\03-02-05-02-01-01-07.wav,Angry,0,48000,213013,4.437770833333333
data/Emotions\Angry\03-02-05-02-01-01-08.wav,Angry,0,48000,217818,4.537875
data/Emotions\Angry\03-02-05-02-01-01-09.wav,Angry,0,48000,200200,4.170833333333333
data/Emotions\Angry\03-02-05-02-01-01-10.wav,Angry,0,48000,230631,4.8048125
